mic,x,y,angle
M0,20.00000,-0.00000,-90.00000,D0,IO_B34_LP12
M1,10.00000,17.32051,-30.00000,D0,IO_B34_LP12
M2,-10.00000,17.32051,30.00000,D2,IO_B13_LN18
M3,-20.00000, 0.00000,90.00000,D2,IO_B13_LN18
M4,-10.00000,-17.32051,-210.00000,D4,IO_B34_LN14
M5,10.00000,-17.32051,-150.00000,D4,IO_B34_LN14
M6,30.00000,-17.32051,-120.00000,D6,IO_B34_LP18
M7,40.00000,-0.00000,-90.00000,D6,IO_B34_LP18
M8,30.00000,17.32051,-60.00000,D8,IO_B13_LN14
M9,20.00000,34.64102,-30.00000,D8,IO_B13_LN14
M10, 0.00000,34.64102,-0.00000,D10,IO_B13_0
M11,-20.00000,34.64102,30.00000,D10,IO_B13_0
M12,-30.00000,17.32051,60.00000,D12,IO_B13_LN20
M13,-40.00000, 0.00000,90.00000,D12,IO_B13_LN20
M14,-30.00000,-17.32051,-240.00000,D14,IO_B34_LP15
M15,-20.00000,-34.64102,-210.00000,D14,IO_B34_LP15
M16,-0.00000,-34.64102,-180.00000,D16,IO_B34_LN12
M17,20.00000,-34.64102,-150.00000,D16,IO_B34_LN12
M18,40.00000,-34.64102,-130.89339,D18,IO_B34_LP21
M19,50.00000,-17.32051,-109.10661,D18,IO_B34_LP21
M20,60.00000,-0.00000,-90.00000,D20,IO_B34_LP20
M21,50.00000,17.32051,-70.89339,D20,IO_B34_LP20
M22,40.00000,34.64102,-49.10661,D22,IO_B13_LN13
M23,30.00000,51.96152,-30.00000,D22,IO_B13_LN13
M24,10.00000,51.96152,-10.89339,D24,IO_B13_LP13
M25,-10.00000,51.96152,10.89339,D24,IO_B13_LP13
M26,-30.00000,51.96152,30.00000,D26,IO_B13_LP18
M27,-40.00000,34.64102,49.10661,D26,IO_B13_LP18
M28,-50.00000,17.32051,70.89339,D28,IO_B13_LN16
M29,-60.00000, 0.00000,90.00000,D28,IO_B13_LN16
M30,-50.00000,-17.32051,-250.89339,D30,IO_B34_LN15
M31,-40.00000,-34.64102,-229.10661,D30,IO_B34_LN15
M32,-30.00000,-51.96152,-210.00000,D32,IO_B34_LN18
M33,-10.00000,-51.96152,-190.89339,D32,IO_B34_LN18
M34,10.00000,-51.96152,-169.10661,D34,IO_B34_LP24
M35,30.00000,-51.96152,-150.00000,D34,IO_B34_LP24
M36,50.00000,-51.96152,-136.10211,D36,IO_B34_0
M37,60.00000,-34.64102,-120.00000,D36,IO_B34_0
M38,70.00000,-17.32051,-103.89789,D38,IO_B34_LN24
M39,80.00000,-0.00000,-90.00000,D38,IO_B34_LN24
M40,70.00000,17.32051,-76.10211,D40,IO_B13_LN19
M41,60.00000,34.64102,-60.00000,D40,IO_B13_LN19
M42,50.00000,51.96152,-43.89789,D42,IO_B13_LP19
M43,40.00000,69.28203,-30.00000,D42,IO_B13_LP19
M44,20.00000,69.28203,-16.10211,D44,IO_B13_LN15
M45, 0.00000,69.28203,-0.00000,D44,IO_B13_LN15
M46,-20.00000,69.28203,16.10211,D46,IO_B13_LP14
M47,-40.00000,69.28203,30.00000,D46,IO_B13_LP14
M48,-50.00000,51.96152,43.89789,D48,IO_B13_LP20
M49,-60.00000,34.64102,60.00000,D48,IO_B13_LP20
M50,-70.00000,17.32051,76.10211,D50,IO_B13_LP16
M51,-80.00000, 0.00000,90.00000,D50,IO_B13_LP16
M52,-70.00000,-17.32051,-256.10211,D52,IO_B34_LP10
M53,-60.00000,-34.64102,-240.00000,D52,IO_B34_LP10
M54,-50.00000,-51.96152,-223.89789,D54,IO_B34_LN20
M55,-40.00000,-69.28203,-210.00000,D54,IO_B34_LN20
M56,-20.00000,-69.28203,-196.10211,D56,IO_B34_LN21
M57,-0.00000,-69.28203,-180.00000,D56,IO_B34_LN21
M58,20.00000,-69.28203,-163.89789,D58,IO_B34_25
M59,40.00000,-69.28203,-150.00000,D58,IO_B34_25
