Comment,Designator,Footprint,LCSC,Quantity
4.7uF,"C1,C101,C103,C105,C107,C109,C11,C111,C113,C115,C117,C119,C13,C15,C17,C19,C21,C23,C25,C27,C29,C3,C31,C33,C35,C37,C39,C41,C43,C45,C47,C49,C5,C51,C53,C55,C57,C59,C61,C63,C65,C67,C69,C7,C71,C73,C75,C77,C79,C81,C83,C85,C87,C89,C9,C91,C93,C95,C97,C99",C_0402_1005Metric,C107371,60
100nF,"C0,C10,C100,C102,C104,C106,C108,C110,C112,C114,C116,C118,C12,C127,C14,C16,C18,C2,C20,C22,C24,C26,C28,C30,C32,C34,C36,C38,C4,C40,C42,C44,C46,C48,C50,C52,C54,C56,C58,C6,C60,C62,C64,C66,C68,C70,C72,C74,C76,C78,C8,C80,C82,C84,C86,C88,C90,C92,C94,C96,C98",C_0201_0603Metric,C160831,61
SPH0641LU4H-1,"M0,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M4,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M5,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M6,M7,M8,M9",MIC_SPH0641LU4H-1,C2879853,60
WS2813C_2020,"D0,D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D7,D8,D9",WS2813C_2020,C5153902,60
MountingHole,"H1,H2,H3,H4",WA-SMST,C5252339,4
22uF,"C120,C121,C122,C123,C124,C125,C126",C_0805_2012Metric,C577040,7
100Ω@100MHz,FB1,R_0603_1608Metric,C64181,1
M55-7002042R,"J1,J2",M557002042R,C7503099,2
